image_name,mpi_nprocess,omp_nthread,nimages,load_time,sobel_time,store_time,work_mode
images/original/051009.vince.gif,1,1,1,0.536569,0.178921,0.266213,single
images/original/1.gif,1,1,10,0.061787,0.225972,0.147299,single
images/original/200_s.gif,1,1,1,0.022519,0.001384,0.000533,single
images/original/9815573.gif,1,1,10,0.069355,0.113334,0.081582,single
images/original/australian-flag-large.gif,1,1,1,0.032639,0.091249,0.022153,single
images/original/Campusplan-Hausnr.gif,1,1,1,0.478180,10.489271,0.908611,single
images/original/Campusplan-Mobilitaetsbeschraenkte.gif,1,1,1,0.531140,10.266873,2.801888,single
images/original/fire.gif,1,1,33,0.183986,0.002803,0.004065,single
images/original/frame_002.gif,1,1,1,0.176595,0.012845,0.003837,single
images/original/giphy-3.gif,1,1,5,0.742016,1.149858,1.227209,single
images/original/Mandelbrot-large.gif,1,1,20,1.182245,2.376510,3.018150,single
images/original/porsche.gif,1,1,1,0.248842,0.009385,0.002250,single
images/original/Produits_sous_linux.gif,1,1,1,0.102265,0.089382,0.009957,single
images/original/TimelyHugeGnu.gif,1,1,19,0.163657,0.281416,0.545111,single
images/original/tumblr_myxlbtwVEb1qzt4vjo1_r14_500_large.gif,1,1,10,0.050628,0.276915,0.561723,single
images/original/051009.vince.gif,1,2,1,0.018779,0.097353,0.291795,single
images/original/1.gif,1,2,10,0.023002,0.133480,0.180399,single
images/original/200_s.gif,1,2,1,0.000389,0.000846,0.000539,single
images/original/9815573.gif,1,2,10,0.016034,0.058196,0.091818,single
images/original/australian-flag-large.gif,1,2,1,0.005944,0.046076,0.024688,single
images/original/Campusplan-Hausnr.gif,1,2,1,0.483791,5.751923,0.884638,single
images/original/Campusplan-Mobilitaetsbeschraenkte.gif,1,2,1,0.514432,5.769106,3.077500,single
images/original/fire.gif,1,2,33,0.000809,0.000602,0.001785,single
images/original/frame_002.gif,1,2,1,0.002097,0.005879,0.003467,single
images/original/giphy-3.gif,1,2,5,0.124379,0.588989,1.182759,single
images/original/Mandelbrot-large.gif,1,2,20,0.237476,1.271888,2.948534,single
images/original/porsche.gif,1,2,1,0.000572,0.001878,0.000869,single
images/original/Produits_sous_linux.gif,1,2,1,0.007195,0.039490,0.010654,single
images/original/TimelyHugeGnu.gif,1,2,19,0.059258,0.155002,0.563460,single
images/original/tumblr_myxlbtwVEb1qzt4vjo1_r14_500_large.gif,1,2,10,0.022424,0.149938,0.592259,single
images/original/051009.vince.gif,1,3,1,0.018419,0.067202,0.297580,single
images/original/1.gif,1,3,10,0.023328,0.090684,0.182256,single
images/original/200_s.gif,1,3,1,0.000349,0.000529,0.000521,single
images/original/9815573.gif,1,3,10,0.016053,0.039596,0.091774,single
images/original/australian-flag-large.gif,1,3,1,0.005501,0.032425,0.024349,single
images/original/Campusplan-Hausnr.gif,1,3,1,0.490751,4.112789,0.966350,single
images/original/Campusplan-Mobilitaetsbeschraenkte.gif,1,3,1,0.500075,4.170645,3.130416,single
images/original/fire.gif,1,3,33,0.000849,0.000540,0.001829,single
images/original/frame_002.gif,1,3,1,0.002325,0.006997,0.004015,single
images/original/giphy-3.gif,1,3,5,0.133449,0.456215,1.295329,single
images/original/Mandelbrot-large.gif,1,3,20,0.247357,0.965276,3.159263,single
images/original/porsche.gif,1,3,1,0.000607,0.001394,0.001000,single
images/original/Produits_sous_linux.gif,1,3,1,0.007049,0.027415,0.010087,single
images/original/TimelyHugeGnu.gif,1,3,19,0.057609,0.102585,0.567017,single
images/original/tumblr_myxlbtwVEb1qzt4vjo1_r14_500_large.gif,1,3,10,0.022061,0.099777,0.593138,single
images/original/051009.vince.gif,1,4,1,0.019109,0.050007,0.299114,single
images/original/1.gif,1,4,10,0.023249,0.102452,0.187408,single
images/original/200_s.gif,1,4,1,0.000423,0.000663,0.000709,single
images/original/9815573.gif,1,4,10,0.016038,0.054635,0.096873,single
