image_name,mpi_nprocess,omp_nthread,nimages,load_time,sobel_time,store_time,work_mode
images/original/051009.vince.gif,1,1,1,0.024177,0.129091,0.221499,single
images/original/1.gif,1,1,10,0.020270,0.178365,0.136317,single
images/original/200_s.gif,1,1,1,0.001205,0.001015,0.002349,single
images/original/9815573.gif,1,1,10,0.014395,0.083006,0.071332,single
images/original/australian-flag-large.gif,1,1,1,0.017827,0.075298,0.020868,single
images/original/Campusplan-Hausnr.gif,1,1,1,0.371499,6.606481,0.715257,single
images/original/Campusplan-Mobilitaetsbeschraenkte.gif,1,1,1,0.381040,6.602568,1.784590,single
images/original/fire.gif,1,1,33,0.002187,0.001263,0.003395,single
images/original/frame_002.gif,1,1,1,0.002674,0.008042,0.004570,single
images/original/giphy-3.gif,1,1,5,0.127681,0.742625,0.962022,single
images/original/Mandelbrot-large.gif,1,1,20,0.199475,1.575832,2.371226,single
images/original/porsche.gif,1,1,1,0.001460,0.002530,0.002578,single
images/original/Produits_sous_linux.gif,1,1,1,0.007157,0.054404,0.010759,single
images/original/TimelyHugeGnu.gif,1,1,19,0.058776,0.199431,0.414909,single
images/original/tumblr_myxlbtwVEb1qzt4vjo1_r14_500_large.gif,1,1,10,0.039040,0.186310,0.433224,single
images/original/051009.vince.gif,2,1,1,0.021976,0.131611,0.225691,striping
images/original/1.gif,2,1,10,0.033891,0.179290,0.138156,striping
images/original/200_s.gif,2,1,1,0.001438,0.023749,0.002842,striping
images/original/9815573.gif,2,1,10,0.013255,0.108217,0.071203,striping
images/original/australian-flag-large.gif,2,1,1,0.012136,0.075747,0.020458,striping
images/original/Campusplan-Hausnr.gif,2,1,1,0.372643,4.637123,0.718075,striping
images/original/Campusplan-Mobilitaetsbeschraenkte.gif,2,1,1,0.376493,4.631309,2.158748,striping
images/original/fire.gif,2,1,33,0.001885,0.042051,0.003824,striping
images/original/frame_002.gif,2,1,1,0.005785,0.029461,0.005123,striping
images/original/giphy-3.gif,2,1,5,0.105902,0.648757,0.964276,striping
images/original/Mandelbrot-large.gif,2,1,20,0.206400,1.404558,2.374299,striping
images/original/porsche.gif,2,1,1,0.002156,0.026457,0.003377,striping
images/original/Produits_sous_linux.gif,2,1,1,0.007141,0.059161,0.010691,striping
images/original/TimelyHugeGnu.gif,2,1,19,0.048901,0.252948,0.418492,striping
images/original/tumblr_myxlbtwVEb1qzt4vjo1_r14_500_large.gif,2,1,10,0.019437,0.174208,0.434488,striping
images/original/051009.vince.gif,3,1,1,0.031125,0.119518,0.224534,striping
images/original/1.gif,3,1,10,0.020825,0.181181,0.137879,striping
images/original/200_s.gif,3,1,1,0.001182,0.022355,0.002266,striping
images/original/9815573.gif,3,1,10,0.030534,0.113639,0.071548,striping
images/original/australian-flag-large.gif,3,1,1,0.005618,0.072572,0.020698,striping
images/original/Campusplan-Hausnr.gif,3,1,1,0.370609,4.551272,0.714880,striping
images/original/Campusplan-Mobilitaetsbeschraenkte.gif,3,1,1,0.401884,4.556766,1.815221,striping
images/original/fire.gif,3,1,33,0.002645,0.039163,0.004091,striping
images/original/frame_002.gif,3,1,1,0.006049,0.033564,0.006612,striping
images/original/giphy-3.gif,3,1,5,0.107862,0.639821,0.966794,striping
images/original/Mandelbrot-large.gif,3,1,20,0.202006,1.646254,2.376890,striping
images/original/porsche.gif,3,1,1,0.002245,0.025713,0.003500,striping
images/original/Produits_sous_linux.gif,3,1,1,0.007436,0.068929,0.010174,striping
images/original/TimelyHugeGnu.gif,3,1,19,0.077526,0.271872,0.416873,striping
images/original/tumblr_myxlbtwVEb1qzt4vjo1_r14_500_large.gif,3,1,10,0.021447,0.185720,0.437270,striping
images/original/051009.vince.gif,4,1,1,0.037057,0.125717,0.221862,striping
images/original/1.gif,4,1,10,0.037359,0.149750,0.137268,legacy
images/original/200_s.gif,4,1,1,0.002052,0.031110,0.002419,striping
images/original/9815573.gif,4,1,10,0.030593,0.098732,0.072339,legacy
images/original/australian-flag-large.gif,4,1,1,0.016827,0.072391,0.020555,striping
images/original/Campusplan-Hausnr.gif,4,1,1,0.375487,4.524526,0.729194,striping
images/original/Campusplan-Mobilitaetsbeschraenkte.gif,4,1,1,0.380530,4.700293,1.976655,striping
images/original/fire.gif,4,1,33,0.002409,0.030364,0.004711,legacy
images/original/frame_002.gif,4,1,1,0.006297,0.037011,0.004513,striping
images/original/giphy-3.gif,4,1,5,0.107504,0.874032,0.964144,legacy
images/original/Mandelbrot-large.gif,4,1,20,0.216692,1.332001,2.376865,legacy
images/original/porsche.gif,4,1,1,0.001567,0.033713,0.002519,striping
images/original/Produits_sous_linux.gif,4,1,1,0.017802,0.073051,0.010357,striping
images/original/TimelyHugeGnu.gif,4,1,19,0.070799,0.214228,0.415357,legacy
images/original/tumblr_myxlbtwVEb1qzt4vjo1_r14_500_large.gif,4,1,10,0.046164,0.150316,0.437237,legacy
images/original/051009.vince.gif,5,1,1,0.039896,0.127493,0.222300,striping
images/original/1.gif,5,1,10,0.021903,0.140936,0.136035,legacy
images/original/200_s.gif,5,1,1,0.000753,0.031947,0.002384,striping
images/original/9815573.gif,5,1,10,0.034797,0.088958,0.071079,legacy
images/original/australian-flag-large.gif,5,1,1,0.007504,0.072962,0.020349,striping
images/original/Campusplan-Hausnr.gif,5,1,1,0.377808,4.507224,0.714685,striping
images/original/Campusplan-Mobilitaetsbeschraenkte.gif,5,1,1,0.383100,4.844479,1.779117,striping
images/original/fire.gif,5,1,33,0.001445,0.030621,0.004014,legacy
images/original/frame_002.gif,5,1,1,0.005382,0.039580,0.005624,striping
images/original/giphy-3.gif,5,1,5,0.105714,0.538704,0.966346,legacy
images/original/Mandelbrot-large.gif,5,1,20,0.198099,1.286752,2.374388,legacy
images/original/porsche.gif,5,1,1,0.001539,0.035803,0.003153,striping
images/original/Produits_sous_linux.gif,5,1,1,0.007308,0.067711,0.010363,striping
images/original/TimelyHugeGnu.gif,5,1,19,0.078406,0.199674,0.416202,legacy
images/original/tumblr_myxlbtwVEb1qzt4vjo1_r14_500_large.gif,5,1,10,0.022826,0.142573,0.436370,legacy
images/original/051009.vince.gif,6,1,1,0.020935,0.127027,0.222378,striping
images/original/1.gif,6,1,10,0.050863,0.137835,0.138018,legacy
images/original/200_s.gif,6,1,1,0.001253,0.032310,0.002299,striping
images/original/9815573.gif,6,1,10,0.037330,0.081636,0.071334,legacy
images/original/australian-flag-large.gif,6,1,1,0.006089,0.071220,0.020846,striping
images/original/Campusplan-Hausnr.gif,6,1,1,0.391494,4.622320,0.717751,striping
images/original/Campusplan-Mobilitaetsbeschraenkte.gif,6,1,1,0.393483,4.550534,1.932389,striping
images/original/fire.gif,6,1,33,0.001454,0.031918,0.003391,legacy
images/original/frame_002.gif,6,1,1,0.006095,0.039986,0.005837,striping
images/original/giphy-3.gif,6,1,5,0.122329,0.670287,0.967125,legacy
images/original/Mandelbrot-large.gif,6,1,20,0.210369,1.313927,2.373554,legacy
images/original/porsche.gif,6,1,1,0.002211,0.034140,0.003188,striping
images/original/Produits_sous_linux.gif,6,1,1,0.017067,0.071924,0.010532,striping
images/original/TimelyHugeGnu.gif,6,1,19,0.079390,0.201745,0.416932,legacy
images/original/tumblr_myxlbtwVEb1qzt4vjo1_r14_500_large.gif,6,1,10,0.046694,0.129690,0.435204,legacy
images/original/051009.vince.gif,7,1,1,0.021474,0.125495,0.222816,striping
images/original/1.gif,7,1,10,0.040548,0.134328,0.138336,legacy
images/original/200_s.gif,7,1,1,0.000899,0.033411,0.002036,striping
images/original/9815573.gif,7,1,10,0.030343,0.088054,0.071570,legacy
images/original/australian-flag-large.gif,7,1,1,0.010346,0.079643,0.020080,striping
images/original/Campusplan-Hausnr.gif,7,1,1,0.395519,4.551437,0.720894,striping
images/original/Campusplan-Mobilitaetsbeschraenkte.gif,7,1,1,0.396674,4.475809,1.772378,striping
images/original/fire.gif,7,1,33,0.001465,0.031215,0.003068,legacy
images/original/frame_002.gif,7,1,1,0.005350,0.040597,0.005599,striping
images/original/giphy-3.gif,7,1,5,0.123193,0.902000,0.967170,striping
images/original/Mandelbrot-large.gif,7,1,20,0.225169,1.255061,2.380849,legacy
images/original/porsche.gif,7,1,1,0.001734,0.034586,0.003034,striping
images/original/Produits_sous_linux.gif,7,1,1,0.007436,0.069146,0.010500,striping
images/original/TimelyHugeGnu.gif,7,1,19,0.082544,0.206974,0.417484,legacy
images/original/tumblr_myxlbtwVEb1qzt4vjo1_r14_500_large.gif,7,1,10,0.039862,0.128441,0.434534,legacy
images/original/051009.vince.gif,8,1,1,0.019254,0.123277,0.222671,striping
images/original/1.gif,8,1,10,0.036947,0.126071,0.137995,legacy
images/original/200_s.gif,8,1,1,0.001681,0.032498,0.002347,striping
images/original/9815573.gif,8,1,10,0.041573,0.089681,0.070758,legacy
images/original/australian-flag-large.gif,8,1,1,0.015523,0.075885,0.021534,striping
images/original/Campusplan-Hausnr.gif,8,1,1,0.373399,4.665010,0.723852,striping
images/original/Campusplan-Mobilitaetsbeschraenkte.gif,8,1,1,0.375021,4.550875,2.042054,striping
images/original/fire.gif,8,1,33,0.002511,0.039994,0.003236,legacy
images/original/frame_002.gif,8,1,1,0.005945,0.039835,0.006583,striping
images/original/giphy-3.gif,8,1,5,0.128018,1.346790,0.972532,striping
images/original/Mandelbrot-large.gif,8,1,20,0.206662,1.387370,2.374286,legacy
images/original/porsche.gif,8,1,1,0.002161,0.034817,0.003034,striping
images/original/Produits_sous_linux.gif,8,1,1,0.013784,0.073458,0.010125,striping
images/original/TimelyHugeGnu.gif,8,1,19,0.081516,0.443685,0.415530,legacy
images/original/tumblr_myxlbtwVEb1qzt4vjo1_r14_500_large.gif,8,1,10,0.040720,0.127438,0.436836,legacy
images/original/051009.vince.gif,1,2,1,0.016705,0.106578,0.225062,single
images/original/1.gif,1,2,10,0.019843,0.152056,0.139445,single
images/original/200_s.gif,1,2,1,0.001533,0.002905,0.003129,single
images/original/9815573.gif,1,2,10,0.013969,0.069668,0.077401,single
images/original/australian-flag-large.gif,1,2,1,0.017273,0.064425,0.023941,single
images/original/Campusplan-Hausnr.gif,1,2,1,0.370602,5.733820,0.716709,single
images/original/Campusplan-Mobilitaetsbeschraenkte.gif,1,2,1,0.372314,5.739153,2.114615,single
images/original/fire.gif,1,2,33,0.000976,0.000888,0.003106,single
images/original/frame_002.gif,1,2,1,0.002157,0.006548,0.004490,single
images/original/giphy-3.gif,1,2,5,0.102826,0.626363,0.968623,single
images/original/Mandelbrot-large.gif,1,2,20,0.198004,1.343091,2.381873,single
images/original/porsche.gif,1,2,1,0.000806,0.002082,0.002397,single
images/original/Produits_sous_linux.gif,1,2,1,0.007321,0.047073,0.010681,single
images/original/TimelyHugeGnu.gif,1,2,19,0.049396,0.164275,0.418515,single
images/original/tumblr_myxlbtwVEb1qzt4vjo1_r14_500_large.gif,1,2,10,0.019455,0.160090,0.438085,single
images/original/051009.vince.gif,2,2,1,0.016759,0.114301,0.223627,striping
images/original/1.gif,2,2,10,0.047056,0.160492,0.139913,striping
images/original/200_s.gif,2,2,1,0.001670,0.023053,0.003007,striping
images/original/9815573.gif,2,2,10,0.028618,0.098164,0.074507,striping
images/original/australian-flag-large.gif,2,2,1,0.006500,0.061947,0.020704,striping
images/original/Campusplan-Hausnr.gif,2,2,1,0.373972,4.192132,0.716950,striping
images/original/Campusplan-Mobilitaetsbeschraenkte.gif,2,2,1,0.380545,4.188357,1.858544,striping
images/original/fire.gif,2,2,33,0.001674,0.042169,0.003634,striping
images/original/frame_002.gif,2,2,1,0.003506,0.028388,0.004974,striping
images/original/giphy-3.gif,2,2,5,0.108916,0.581073,0.966438,striping
images/original/Mandelbrot-large.gif,2,2,20,0.199200,1.276331,2.379584,striping
images/original/porsche.gif,2,2,1,0.001754,0.023683,0.003311,striping
images/original/Produits_sous_linux.gif,2,2,1,0.008794,0.058098,0.010288,striping
images/original/TimelyHugeGnu.gif,2,2,19,0.079593,0.230769,0.422504,striping
images/original/tumblr_myxlbtwVEb1qzt4vjo1_r14_500_large.gif,2,2,10,0.028735,0.162369,0.441052,striping
images/original/051009.vince.gif,3,2,1,0.029459,0.101280,0.221017,striping
images/original/1.gif,3,2,10,0.037243,0.163322,0.139872,striping
images/original/200_s.gif,3,2,1,0.000573,0.022567,0.001840,striping
images/original/9815573.gif,3,2,10,0.040885,0.105504,0.074504,striping
images/original/australian-flag-large.gif,3,2,1,0.010115,0.069774,0.020384,striping
images/original/Campusplan-Hausnr.gif,3,2,1,0.373064,4.189003,0.723769,striping
images/original/Campusplan-Mobilitaetsbeschraenkte.gif,3,2,1,0.396084,4.193106,1.782774,striping
images/original/fire.gif,3,2,33,0.001690,0.035742,0.003774,striping
images/original/frame_002.gif,3,2,1,0.003520,0.034513,0.005616,striping
images/original/giphy-3.gif,3,2,5,0.105976,0.602113,0.980286,striping
images/original/Mandelbrot-large.gif,3,2,20,0.212250,1.560217,2.376958,striping
images/original/porsche.gif,3,2,1,0.000930,0.023480,0.002368,striping
images/original/Produits_sous_linux.gif,3,2,1,0.010019,0.073050,0.010259,striping
images/original/TimelyHugeGnu.gif,3,2,19,0.049708,0.237232,0.419063,striping
images/original/tumblr_myxlbtwVEb1qzt4vjo1_r14_500_large.gif,3,2,10,0.019626,0.173067,0.441902,striping
images/original/051009.vince.gif,4,2,1,0.035434,0.115581,0.223150,striping
images/original/1.gif,4,2,10,0.042122,0.147140,0.137844,legacy
images/original/200_s.gif,4,2,1,0.001472,0.031999,0.002322,striping
images/original/9815573.gif,4,2,10,0.017399,0.086566,0.071706,legacy
images/original/australian-flag-large.gif,4,2,1,0.006105,0.069489,0.020520,striping
images/original/Campusplan-Hausnr.gif,4,2,1,0.399884,4.209769,0.719186,striping
images/original/Campusplan-Mobilitaetsbeschraenkte.gif,4,2,1,0.398692,4.243270,1.777614,striping
images/original/fire.gif,4,2,33,0.002396,0.029451,0.002949,legacy
images/original/frame_002.gif,4,2,1,0.003196,0.039793,0.004951,striping
images/original/giphy-3.gif,4,2,5,0.108781,0.583414,0.967103,legacy
images/original/Mandelbrot-large.gif,4,2,20,0.208459,1.451282,2.374185,legacy
images/original/porsche.gif,4,2,1,0.001357,0.032976,0.002241,striping
images/original/Produits_sous_linux.gif,4,2,1,0.010150,0.072037,0.010614,striping
images/original/TimelyHugeGnu.gif,4,2,19,0.083392,0.205487,0.431578,legacy
images/original/tumblr_myxlbtwVEb1qzt4vjo1_r14_500_large.gif,4,2,10,0.024448,0.140356,0.437824,legacy
images/original/051009.vince.gif,5,2,1,0.036696,0.114171,0.223448,striping
images/original/1.gif,5,2,10,0.024441,0.136515,0.137887,legacy
images/original/200_s.gif,5,2,1,0.000619,0.034433,0.001831,striping
images/original/9815573.gif,5,2,10,0.028515,0.081045,0.072038,legacy
images/original/australian-flag-large.gif,5,2,1,0.017543,0.066813,0.020502,striping
images/original/Campusplan-Hausnr.gif,5,2,1,0.378760,4.512086,0.720664,striping
images/original/Campusplan-Mobilitaetsbeschraenkte.gif,5,2,1,0.398738,4.325485,1.782550,striping
images/original/fire.gif,5,2,33,0.001671,0.029918,0.003509,legacy
images/original/frame_002.gif,5,2,1,0.005840,0.037987,0.005540,striping
images/original/giphy-3.gif,5,2,5,0.117236,0.602010,0.971998,legacy
images/original/Mandelbrot-large.gif,5,2,20,0.223479,1.068436,2.374372,legacy
images/original/porsche.gif,5,2,1,0.001023,0.034147,0.002482,striping
images/original/Produits_sous_linux.gif,5,2,1,0.011362,0.072587,0.010313,striping
