image_name,mpi_nprocess,omp_nthread,nimages,load_time,sobel_time,store_time,work_mode
images/original/051009.vince.gif,1,1,1,0.018685,0.126683,0.150804,single
images/original/1.gif,1,1,10,0.018889,0.180411,0.103058,single
images/original/200_s.gif,1,1,1,0.001180,0.001027,0.001727,single
images/original/9815573.gif,1,1,10,0.034451,0.088335,0.052989,single
images/original/australian-flag-large.gif,1,1,1,0.005292,0.063654,0.016215,single
images/original/Campusplan-Hausnr.gif,1,1,1,0.370197,6.727010,0.656196,single
images/original/Campusplan-Mobilitaetsbeschraenkte.gif,1,1,1,0.390962,6.791316,1.847569,single
images/original/fire.gif,1,1,33,0.001705,0.001098,0.003226,single
images/original/frame_002.gif,1,1,1,0.002510,0.008151,0.004392,single
images/original/giphy-3.gif,1,1,5,0.119007,0.753860,0.633564,single
images/original/Mandelbrot-large.gif,1,1,20,0.197187,1.601626,1.537316,single
images/original/porsche.gif,1,1,1,0.001488,0.002569,0.002244,single
images/original/Produits_sous_linux.gif,1,1,1,0.007093,0.055059,0.010219,single
images/original/TimelyHugeGnu.gif,1,1,19,0.054515,0.203531,0.322640,single
images/original/tumblr_myxlbtwVEb1qzt4vjo1_r14_500_large.gif,1,1,10,0.019912,0.190872,0.320811,single
images/original/051009.vince.gif,2,1,1,0.015641,0.099794,0.282570,striping
images/original/1.gif,2,1,10,0.030741,0.143914,0.222635,striping
images/original/200_s.gif,2,1,1,0.001491,0.022847,0.009037,striping
images/original/9815573.gif,2,1,10,0.014077,0.085584,0.115221,striping
images/original/australian-flag-large.gif,2,1,1,0.005440,0.058918,0.031668,striping
images/original/Campusplan-Hausnr.gif,2,1,1,0.371181,3.881293,1.707862,striping
images/original/Campusplan-Mobilitaetsbeschraenkte.gif,2,1,1,0.389854,3.884127,2.683091,striping
images/original/fire.gif,2,1,33,0.002591,0.032221,0.010164,striping
images/original/frame_002.gif,2,1,1,0.004119,0.028228,0.012995,striping
images/original/giphy-3.gif,2,1,5,0.107321,0.522573,1.422956,striping
images/original/Mandelbrot-large.gif,2,1,20,0.204622,1.079774,3.695268,striping
images/original/porsche.gif,2,1,1,0.001827,0.023995,0.008958,striping
images/original/Produits_sous_linux.gif,2,1,1,0.017850,0.055813,0.025853,striping
images/original/TimelyHugeGnu.gif,2,1,19,0.048784,0.183917,0.681598,striping
images/original/tumblr_myxlbtwVEb1qzt4vjo1_r14_500_large.gif,2,1,10,0.029744,0.153935,0.636411,striping
images/original/051009.vince.gif,3,1,1,0.018740,0.091206,0.281734,striping
images/original/1.gif,3,1,10,0.018678,0.129140,0.237672,striping
images/original/200_s.gif,3,1,1,0.001347,0.022103,0.011071,striping
images/original/9815573.gif,3,1,10,0.017620,0.078930,0.121335,striping
images/original/australian-flag-large.gif,3,1,1,0.004784,0.054679,0.040125,striping
